giocatore,punti_totali,tiri_liberi,due_punti,tre_punti,squadra,avversario,partita,id_gara
Negretto S.,20,3,7,1,Posal Sesto San Giovanni,Social Osa,C,5508
Angiolini F.,8,4,2,0,Posal Sesto San Giovanni,Social Osa,C,5508
Vignati R.,7,3,2,0,Posal Sesto San Giovanni,Social Osa,C,5508
Manzini G.,6,0,3,0,Posal Sesto San Giovanni,Social Osa,C,5508
Nava S.,6,2,2,0,Posal Sesto San Giovanni,Social Osa,C,5508
Capaccioli L.,4,2,1,0,Posal Sesto San Giovanni,Social Osa,C,5508
Picelli P.,4,0,2,0,Posal Sesto San Giovanni,Social Osa,C,5508
Faustini L.,4,0,2,0,Posal Sesto San Giovanni,Social Osa,C,5508
Fabbricotti M.,3,1,1,0,Posal Sesto San Giovanni,Social Osa,C,5508
Buonaguidi N.,1,1,0,0,Posal Sesto San Giovanni,Social Osa,C,5508
Defendi G.,0,0,0,0,Posal Sesto San Giovanni,Social Osa,C,5508
Bisi A.,0,0,0,0,Posal Sesto San Giovanni,Social Osa,C,5508
Di Iorio M.,10,1,0,3,Social Osa,Posal Sesto San Giovanni,T,5508
Punturieri O.,9,1,4,0,Social Osa,Posal Sesto San Giovanni,T,5508
Varisco M.,8,2,3,0,Social Osa,Posal Sesto San Giovanni,T,5508
Sturlesi N.,6,0,3,0,Social Osa,Posal Sesto San Giovanni,T,5508
Buhaj S.,4,0,2,0,Social Osa,Posal Sesto San Giovanni,T,5508
Carlone M.,4,2,1,0,Social Osa,Posal Sesto San Giovanni,T,5508
Magnoni L.,4,0,2,0,Social Osa,Posal Sesto San Giovanni,T,5508
Rabacchin A.,4,0,2,0,Social Osa,Posal Sesto San Giovanni,T,5508
Gaboli S.,4,0,2,0,Social Osa,Posal Sesto San Giovanni,T,5508
Nolli A.,3,1,1,0,Social Osa,Posal Sesto San Giovanni,T,5508
Airoldi D.,0,0,0,0,Social Osa,Posal Sesto San Giovanni,T,5508
Cantarin E.,0,0,0,0,Social Osa,Posal Sesto San Giovanni,T,5508
Giglio A.,14,7,2,1,Ado San Benedetto Milano,Inzago Basket,C,5509
Anzalone F.,9,3,3,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Testini E.,7,2,1,1,Ado San Benedetto Milano,Inzago Basket,C,5509
Perricone A.,7,0,2,1,Ado San Benedetto Milano,Inzago Basket,C,5509
Pasquali A.,6,0,3,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Digrandi S.,4,2,1,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Filosa A.,2,0,1,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Ricciardi A.,2,2,0,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Chini E.,2,0,1,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Kustermann R.,0,0,0,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Pupella P.,0,0,0,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Tresoldi M.,0,0,0,0,Ado San Benedetto Milano,Inzago Basket,C,5509
Marcotti Luca,11,2,3,1,Inzago Basket,Ado San Benedetto Milano,T,5509
Dossi Simone,9,1,4,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Cavina Davide,8,4,2,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Balconi Paolo,7,1,0,2,Inzago Basket,Ado San Benedetto Milano,T,5509
Brambilla Francesco,7,1,3,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Stigliani Matteo,3,0,0,1,Inzago Basket,Ado San Benedetto Milano,T,5509
Ronzoni Alessandro,2,0,1,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Barazzetta Giorgio,0,0,0,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Cavalli Simone,0,0,0,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Galli Marco,0,0,0,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Gorla Mattia,0,0,0,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Pirovano Matteo,0,0,0,0,Inzago Basket,Ado San Benedetto Milano,T,5509
Varisco L.,24,2,11,0,Cgb Brugherio,Osal Novate,C,5510
Giuseppetti M.,12,0,6,0,Cgb Brugherio,Osal Novate,C,5510
Brioschi N.,12,0,3,2,Cgb Brugherio,Osal Novate,C,5510
Rusconi L.,8,1,2,1,Cgb Brugherio,Osal Novate,C,5510
Sandini C.,7,5,1,0,Cgb Brugherio,Osal Novate,C,5510
Di Tullio A.,6,0,3,0,Cgb Brugherio,Osal Novate,C,5510
Pizzi L.,6,4,1,0,Cgb Brugherio,Osal Novate,C,5510
Marci A.,5,2,0,1,Cgb Brugherio,Osal Novate,C,5510
Marci G.,4,0,2,0,Cgb Brugherio,Osal Novate,C,5510
Schiavone R.,4,2,1,0,Cgb Brugherio,Osal Novate,C,5510
Dezani A.,3,0,0,1,Cgb Brugherio,Osal Novate,C,5510
Pasquini G.,7,0,2,1,Osal Novate,Cgb Brugherio,T,5510
De Vito A.,7,0,2,1,Osal Novate,Cgb Brugherio,T,5510
Remartini G.,5,1,2,0,Osal Novate,Cgb Brugherio,T,5510
Rabbachin C.,4,0,2,0,Osal Novate,Cgb Brugherio,T,5510
Dell'Acqua F.,4,0,2,0,Osal Novate,Cgb Brugherio,T,5510
Ossoli T,4,4,0,0,Osal Novate,Cgb Brugherio,T,5510
Di Lernia S.,4,2,1,0,Osal Novate,Cgb Brugherio,T,5510
Plumari O.,2,0,1,0,Osal Novate,Cgb Brugherio,T,5510
Lizza T.,2,0,1,0,Osal Novate,Cgb Brugherio,T,5510
Giugliano M.,2,0,1,0,Osal Novate,Cgb Brugherio,T,5510
Conati /,18,2,2,4,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Marini /,10,0,2,2,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Morosini /,10,4,3,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Mauri /,9,4,1,1,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Mantovani /,7,5,1,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Panfili /,6,0,0,2,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Tortoreto /,5,2,0,1,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
De Marchi /,3,1,1,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Bevivino /,2,0,1,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Tomaselli /,1,1,0,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Uccelli /,0,0,0,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Polio /,0,0,0,0,Azzurri Niguardese,Basket Ajaccio 1988,C,5511
Mariani M.,19,5,4,2,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Polo L.,8,2,3,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Reda M.,7,7,0,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Bernardello N.,5,1,2,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Moalli D.,5,3,1,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Ronzoni D.,3,0,0,1,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Tava S.,3,0,0,1,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Fina E.,2,2,0,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Barnini E.,2,2,0,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Passante A.,0,0,0,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Chianura A.,0,0,0,0,Basket Ajaccio 1988,Azzurri Niguardese,T,5511
Tamburrini G.,24,2,2,6,Pall.Carugate,Cesano Seveso,C,5512
Spinelli M.,11,2,3,1,Pall.Carugate,Cesano Seveso,C,5512
Ghezzi S.,10,2,1,2,Pall.Carugate,Cesano Seveso,C,5512
Iacopetta L.,7,1,3,0,Pall.Carugate,Cesano Seveso,C,5512
Pizzul D.,4,0,2,0,Pall.Carugate,Cesano Seveso,C,5512
Maccagni A.,4,2,1,0,Pall.Carugate,Cesano Seveso,C,5512
Lingiardi P.,3,0,0,1,Pall.Carugate,Cesano Seveso,C,5512
Mainetti A.,3,1,1,0,Pall.Carugate,Cesano Seveso,C,5512
Bonfanti S.,3,0,0,1,Pall.Carugate,Cesano Seveso,C,5512
